,f_t,f_v,f_u
390,1597821938.211294,0.49455280793865447,0.15000000596046448
391,1597821938.251305,0.684809371738484,0.15000000596046448
392,1597821938.271286,0.6839959985027046,0.15000000596046448
393,1597821938.311329,0.684324750344816,0.15000000596046448
394,1597821938.351251,0.6845485309740779,0.15000000596046448
395,1597821938.371198,0.6834552497978992,0.15000000596046448
396,1597821938.411231,0.6834425734049552,0.15000000596046448
397,1597821938.451147,0.523991991357859,0.15000000596046448
398,1597821938.471231,0.5223078563691207,0.15000000596046448
399,1597821938.511101,0.5203864854450515,0.15000000596046448
400,1597821938.551243,0.5183943859996781,0.15000000596046448
401,1597821938.571188,0.5165235989588979,0.15000000596046448
402,1597821938.61119,0.5143686516624952,0.15000000596046448
403,1597821938.650977,0.5288199739534922,0.15000000596046448
404,1597821938.671058,0.5272304411785734,0.15000000596046448
405,1597821938.711151,0.5254561267028499,0.15000000596046448
406,1597821938.751108,0.5236156893531069,0.15000000596046448
407,1597821938.771093,0.5218421292248068,0.15000000596046448
408,1597821938.811067,0.5198405904016207,0.15000000596046448
409,1597821938.851075,0.5177681472672141,0.15000000596046448
410,1597821938.87106,0.517155686748854,0.15000000596046448
411,1597821938.910972,0.5153856637454475,0.15000000596046448
412,1597821938.950946,0.5135538871659123,0.15000000596046448
413,1597821938.971085,0.5118659253816839,0.15000000596046448
414,1597821939.010968,0.5098874321548403,0.15000000596046448
415,1597821939.050987,0.7152281457942106,0.15000000596046448
416,1597821939.071042,0.7148147477144842,0.15000000596046448
417,1597821939.110976,0.71573401651775,0.15000000596046448
418,1597821939.150972,0.7165678786530354,0.15000000596046448
419,1597821939.170974,0.7158927838896174,0.15000000596046448
420,1597821939.211057,0.7165067833170353,0.15000000596046448
421,1597821939.250859,0.7033767787199439,0.15000000596046448
422,1597821939.270872,0.7028393040486399,0.15000000596046448
423,1597821939.310788,0.7034274860654889,0.15000000596046448
424,1597821939.350786,0.7039357428560035,0.15000000596046448
425,1597821939.370887,0.7031604454236424,0.15000000596046448
426,1597821939.41083,0.7034526863998546,0.15000000596046448
427,1597821939.450747,0.7036523078449566,0.15000000596046448
428,1597821939.47084,0.6525507209730259,0.15000000596046448
429,1597821939.510801,0.6523950645909337,0.15000000596046448
430,1597821939.55073,0.6521658434927228,0.15000000596046448
431,1597821939.570712,0.6511684089217565,0.15000000596046448
432,1597821939.610797,0.6507638382961874,0.15000000596046448
433,1597821939.650705,0.6728171622186202,0.15000000596046448
434,1597821939.670707,0.6720575680924596,0.15000000596046448
435,1597821939.710711,0.6720299912666209,0.15000000596046448
436,1597821939.750735,0.6719278551741031,0.15000000596046448
437,1597821939.770808,0.6709569414724746,0.15000000596046448
438,1597821939.810686,0.6706621185340518,0.15000000596046448
439,1597821939.850571,0.6689177962922763,0.15000000596046448
440,1597821939.87056,0.6681212030780611,0.15000000596046448
441,1597821939.910717,0.6679678204533174,0.15000000596046448
442,1597821939.950621,0.6677330320757572,0.15000000596046448
443,1597821939.970582,0.666730299109034,0.15000000596046448
444,1597821940.010637,0.6663215193635832,0.15000000596046448
445,1597821940.050539,0.5095770943915804,0.15000000596046448
446,1597821940.07042,0.5078255284936752,0.15000000596046448
447,1597821940.110482,0.505374128684252,0.15000000596046448
448,1597821940.150491,0.5028740126024059,0.15000000596046448
449,1597821940.17068,0.5009753593878103,0.15000000596046448
450,1597821940.210463,0.498363421805704,0.15000000596046448
451,1597821940.250515,0.4956892376018882,0.15000000596046448
452,1597821940.270477,0.5122443370401717,0.15000000596046448
453,1597821940.310495,0.510053990091921,0.15000000596046448
454,1597821940.350601,0.5078133978348228,0.15000000596046448
455,1597821940.370358,0.5061023509600739,0.15000000596046448
456,1597821940.410485,0.5037468718230365,0.15000000596046448
457,1597821940.450336,0.5570587135184982,0.15000000596046448
458,1597821940.470288,0.5557668067673667,0.15000000596046448
459,1597821940.510311,0.5542652466512255,0.15000000596046448
460,1597821940.550333,0.5527105273282882,0.15000000596046448
461,1597821940.570485,0.5512693383330358,0.15000000596046448
462,1597821940.610369,0.5495871086158083,0.15000000596046448
463,1597821940.650237,0.5892215581946114,0.15000000596046448
464,1597821940.671408,0.5881850676448159,0.15000000596046448
465,1597821940.710165,0.587197818732599,0.15000000596046448
466,1597821940.750168,0.5861631138391821,0.15000000596046448
467,1597821940.770111,0.5849646257612897,0.15000000596046448
468,1597821940.810217,0.5837954377077897,0.15000000596046448
469,1597821940.850253,0.5825669937000062,0.15000000596046448
470,1597821940.870259,0.7330996786303458,0.15000000596046448
471,1597821940.910229,0.7342717926651455,0.15000000596046448
472,1597821940.950133,0.7353729733414475,0.15000000596046448
473,1597821940.970055,0.7351299313786123,0.15000000596046448
474,1597821941.010093,0.7360710101687542,0.15000000596046448
475,1597821941.050113,0.9198114999379923,0.15000000596046448
476,1597821941.070081,0.9208203440828759,0.15000000596046448
477,1597821941.110128,0.9244649523715898,0.15000000596046448
478,1597821941.14997,0.9279950236653944,0.15000000596046448
479,1597821941.169987,0.9287561339293391,0.15000000596046448
480,1597821941.210041,0.9320922465485764,0.15000000596046448
481,1597821941.249936,0.8753417464223209,0.15000000596046448
482,1597821941.269938,0.8759007677618565,0.15000000596046448
483,1597821941.309991,0.8785114965399519,0.15000000596046448
484,1597821941.350799,0.8811222817007456,0.15000000596046448
485,1597821941.369925,0.8813570233916356,0.15000000596046448
486,1597821941.410041,0.88369282957081,0.15000000596046448
487,1597821941.450051,0.9936459368282553,0.15000000596046448
488,1597821941.470106,0.9948431422642043,0.15000000596046448
489,1597821941.509866,0.998821809665553,0.15000000596046448
490,1597821941.549847,1.002744482519786,0.15000000596046448
491,1597821941.569926,1.0036857747596792,0.15000000596046448
492,1597821941.609823,1.007369146904832,0.15000000596046448
493,1597821941.649899,1.0109819233695956,0.15000000596046448
494,1597821941.669843,1.0463558985066772,0.15000000596046448
495,1597821941.710002,1.0508119482212033,0.15000000596046448
496,1597821941.749823,1.0551284041083564,0.15000000596046448
497,1597821941.769858,1.056300116250047,0.15000000596046448
498,1597821941.809698,1.060394929608255,0.15000000596046448
499,1597821941.849691,1.0325662791270729,0.15000000596046448
500,1597821941.869764,1.0336273578199586,0.15000000596046448
501,1597821941.909744,1.037325392056116,0.15000000596046448
502,1597821941.949763,1.040942251541345,0.15000000596046448
503,1597821941.969751,1.0417390234089874,0.15000000596046448
